,SAT,SAT_bleu,SAT_Met,base3_bleu,base3_Met
491,0.355,0.329,0.148,0.337,0.164
492,0.341,0.325,0.149,0.345,0.167
493,0.347,0.339,0.153,0.342,0.166
494,0.351,0.352,0.158,0.349,0.175
495,0.341,0.333,0.151,0.351,0.169
496,0.352,0.338,0.151,0.337,0.17
497,0.344,0.345,0.154,0.349,0.174
498,0.373,0.317,0.143,0.341,0.162
499,0.35,0.328,0.15,0.345,0.172
500,0.343,0.324,0.145,0.346,0.167
501,0.339,0.319,0.145,0.347,0.168
502,0.344,0.325,0.15,0.344,0.168
503,0.352,0.327,0.15,0.346,0.169
504,0.344,0.334,0.149,0.339,0.167
505,0.334,0.319,0.143,0.335,0.164
506,0.347,0.315,0.14,0.343,0.162
507,0.363,0.336,0.152,0.343,0.168
508,0.356,0.326,0.148,0.341,0.168
509,0.369,0.323,0.144,0.344,0.165
510,0.342,0.334,0.151,0.344,0.169
511,0.35,0.33,0.15,0.346,0.165
512,0.342,0.325,0.146,0.339,0.163
513,0.341,0.31,0.143,0.341,0.164
514,0.36,0.327,0.148,0.341,0.168
515,0.353,0.324,0.149,0.348,0.165
516,0.351,0.34,0.154,0.352,0.169
517,0.35,0.358,0.16,0.339,0.171
518,0.356,0.313,0.143,0.337,0.163
519,0.338,0.315,0.143,0.343,0.164
520,0.36,0.322,0.145,0.338,0.163
521,0.353,0.321,0.147,0.342,0.164
522,0.333,0.323,0.149,0.345,0.167
523,0.342,0.328,0.147,0.334,0.164
524,0.345,0.358,0.157,0.343,0.174
525,0.358,0.336,0.153,0.345,0.165
526,0.349,0.337,0.155,0.341,0.167
527,0.351,0.33,0.148,0.342,0.168
528,0.344,0.342,0.154,0.34,0.17
529,0.323,0.336,0.153,0.336,0.162
530,0.342,0.339,0.151,0.339,0.168
531,0.352,0.325,0.147,0.335,0.159
532,0.318,0.331,0.151,0.342,0.165
533,0.349,0.349,0.155,0.345,0.172
534,0.352,0.338,0.15,0.334,0.164
535,0.357,0.33,0.149,0.344,0.165
536,0.332,0.338,0.152,0.351,0.169
537,0.365,0.311,0.145,0.349,0.164
538,0.35,0.322,0.146,0.346,0.169
539,0.34,0.333,0.153,0.341,0.167
540,0.353,0.336,0.151,0.343,0.166
541,0.352,0.326,0.146,0.342,0.164
542,0.374,0.329,0.148,0.343,0.167
543,0.34,0.354,0.159,0.344,0.173
544,0.352,0.32,0.145,0.341,0.161
545,0.329,0.338,0.154,0.343,0.166
546,0.344,0.33,0.15,0.348,0.169
547,0.355,0.355,0.159,0.341,0.173
548,0.352,0.327,0.149,0.346,0.166
549,0.346,0.317,0.144,0.343,0.163
550,0.35,0.33,0.145,0.335,0.167
551,0.359,0.331,0.15,0.349,0.174
552,0.349,0.331,0.15,0.35,0.166
553,0.35,0.32,0.147,0.345,0.17
554,0.357,0.321,0.147,0.337,0.162
555,0.356,0.327,0.147,0.337,0.165
556,0.33,0.326,0.151,0.346,0.167
557,0.338,0.328,0.147,0.341,0.164
558,0.346,0.336,0.15,0.337,0.169
559,0.35,0.322,0.15,0.347,0.165
560,0.35,0.32,0.145,0.344,0.167
561,0.355,0.313,0.145,0.348,0.166
562,0.355,0.333,0.148,0.342,0.167
563,0.36,0.317,0.143,0.346,0.166
564,0.337,0.327,0.151,0.34,0.163
565,0.357,0.329,0.149,0.347,0.168
566,0.346,0.318,0.145,0.345,0.166
567,0.341,0.328,0.146,0.336,0.165
568,0.335,0.325,0.148,0.346,0.167
569,0.355,0.327,0.149,0.34,0.165
570,0.327,0.336,0.15,0.342,0.168
571,0.351,0.331,0.151,0.346,0.164
572,0.347,0.338,0.151,0.345,0.168
573,0.351,0.321,0.146,0.346,0.167
574,0.344,0.33,0.149,0.336,0.162
575,0.352,0.327,0.151,0.346,0.167
576,0.355,0.343,0.153,0.341,0.172
577,0.356,0.315,0.148,0.348,0.165
578,0.337,0.325,0.148,0.344,0.166
579,0.361,0.325,0.146,0.338,0.167
580,0.351,0.33,0.151,0.343,0.165
581,0.351,0.335,0.15,0.347,0.171
582,0.333,0.337,0.151,0.339,0.166
583,0.345,0.334,0.15,0.34,0.168
584,0.352,0.333,0.151,0.348,0.167
585,0.328,0.333,0.149,0.342,0.165
586,0.346,0.331,0.151,0.343,0.168
587,0.346,0.319,0.144,0.342,0.167
588,0.344,0.318,0.147,0.346,0.164
589,0.341,0.343,0.153,0.34,0.168
590,0.341,0.325,0.148,0.349,0.168
591,0.355,0.34,0.151,0.341,0.169
592,0.351,0.339,0.151,0.334,0.165
593,0.355,0.329,0.147,0.343,0.164
594,0.355,0.328,0.148,0.343,0.163
595,0.35,0.343,0.154,0.346,0.175
596,0.35,0.322,0.146,0.344,0.165
597,0.348,0.338,0.154,0.356,0.17
598,0.357,0.343,0.157,0.349,0.172
599,0.342,0.323,0.148,0.344,0.166
600,0.36,0.327,0.147,0.338,0.163
601,0.348,0.318,0.146,0.344,0.166
602,0.356,0.336,0.15,0.34,0.17
603,0.362,0.33,0.151,0.356,0.168
604,0.334,0.321,0.146,0.342,0.163
605,0.336,0.332,0.151,0.342,0.169
606,0.333,0.331,0.15,0.34,0.165
607,0.351,0.327,0.147,0.339,0.165
608,0.352,0.334,0.148,0.342,0.166
609,0.343,0.327,0.147,0.344,0.165
610,0.349,0.318,0.146,0.344,0.164
611,0.365,0.326,0.151,0.339,0.168
612,0.346,0.33,0.151,0.352,0.171
613,0.342,0.335,0.154,0.346,0.169
614,0.349,0.314,0.143,0.353,0.167
615,0.352,0.332,0.151,0.347,0.168
616,0.328,0.328,0.15,0.345,0.164
617,0.36,0.33,0.151,0.343,0.17
618,0.362,0.33,0.151,0.341,0.165
619,0.361,0.329,0.149,0.342,0.167
620,0.348,0.324,0.148,0.335,0.163
621,0.356,0.352,0.159,0.347,0.175
622,0.353,0.331,0.152,0.339,0.163
623,0.349,0.325,0.145,0.34,0.163
624,0.362,0.322,0.147,0.34,0.165
625,0.339,0.343,0.155,0.339,0.164
626,0.356,0.332,0.15,0.341,0.165
627,0.336,0.325,0.148,0.345,0.166
628,0.335,0.331,0.148,0.334,0.163
629,0.351,0.342,0.154,0.347,0.173
630,0.345,0.349,0.155,0.336,0.169
