,MRA,base,base2
719,0.184,0.185,0.213
720,0.181,0.182,0.209
721,0.182,0.182,0.215
722,0.187,0.187,0.218
723,0.177,0.179,0.208
724,0.181,0.179,0.21
725,0.186,0.185,0.215
726,0.183,0.181,0.211
727,0.182,0.184,0.216
728,0.182,0.183,0.212
729,0.181,0.183,0.21
730,0.188,0.187,0.217
731,0.177,0.18,0.205
732,0.184,0.179,0.211
733,0.18,0.18,0.211
734,0.183,0.189,0.214
735,0.183,0.185,0.214
736,0.184,0.185,0.215
737,0.185,0.184,0.216
738,0.182,0.179,0.211
739,0.185,0.189,0.218
740,0.183,0.184,0.214
741,0.182,0.181,0.211
742,0.183,0.185,0.213
743,0.175,0.182,0.209
744,0.182,0.186,0.213
745,0.188,0.189,0.218
746,0.189,0.189,0.218
747,0.194,0.19,0.222
748,0.184,0.184,0.212
749,0.186,0.191,0.22
750,0.177,0.178,0.206
751,0.18,0.183,0.213
752,0.184,0.184,0.212
753,0.183,0.185,0.216
754,0.195,0.193,0.222
755,0.184,0.185,0.218
756,0.183,0.183,0.212
757,0.179,0.18,0.209
758,0.181,0.18,0.21
759,0.183,0.185,0.213
760,0.186,0.188,0.219
761,0.189,0.192,0.221
762,0.179,0.184,0.211
763,0.18,0.182,0.21
764,0.184,0.186,0.216
765,0.184,0.184,0.213
766,0.181,0.184,0.213
767,0.181,0.186,0.211
768,0.188,0.184,0.217
769,0.178,0.179,0.208
770,0.185,0.188,0.217
771,0.181,0.182,0.211
772,0.187,0.185,0.215
773,0.188,0.187,0.218
774,0.184,0.181,0.211
775,0.184,0.189,0.216
776,0.184,0.183,0.213
777,0.177,0.184,0.211
778,0.192,0.189,0.219
779,0.187,0.183,0.213
780,0.189,0.193,0.223
781,0.183,0.189,0.219
782,0.175,0.176,0.205
783,0.19,0.189,0.22
784,0.179,0.182,0.21
785,0.179,0.184,0.209
786,0.182,0.186,0.216
787,0.187,0.187,0.217
788,0.18,0.186,0.214
789,0.183,0.184,0.217
790,0.192,0.194,0.226
791,0.18,0.182,0.211
792,0.186,0.191,0.219
793,0.189,0.189,0.219
794,0.18,0.186,0.214
795,0.186,0.19,0.219
796,0.183,0.188,0.217
797,0.189,0.183,0.218
798,0.181,0.182,0.209
799,0.186,0.185,0.215
800,0.184,0.189,0.215
801,0.183,0.183,0.212
802,0.186,0.183,0.214
803,0.187,0.186,0.217
804,0.185,0.184,0.214
805,0.19,0.187,0.22
806,0.181,0.178,0.209
807,0.185,0.181,0.213
808,0.181,0.181,0.21
809,0.185,0.184,0.213
810,0.186,0.183,0.211
811,0.185,0.185,0.216
812,0.183,0.184,0.211
813,0.183,0.185,0.213
814,0.181,0.181,0.213
815,0.183,0.183,0.212
816,0.181,0.182,0.211
817,0.184,0.18,0.21
818,0.179,0.179,0.207
819,0.177,0.181,0.208
820,0.183,0.183,0.212
821,0.185,0.184,0.218
822,0.181,0.183,0.212
823,0.182,0.182,0.214
824,0.179,0.181,0.213
825,0.185,0.189,0.218
826,0.183,0.186,0.215
827,0.182,0.184,0.214
828,0.183,0.182,0.211
829,0.186,0.186,0.213
830,0.187,0.189,0.219
831,0.185,0.189,0.219
832,0.183,0.184,0.213
833,0.185,0.188,0.216
834,0.183,0.185,0.214
835,0.188,0.189,0.218
836,0.186,0.186,0.216
837,0.186,0.185,0.216
838,0.181,0.185,0.214
839,0.184,0.184,0.216
840,0.191,0.191,0.219
841,0.179,0.185,0.211
842,0.179,0.18,0.21
843,0.175,0.179,0.208
844,0.182,0.187,0.215
845,0.185,0.187,0.214
846,0.182,0.187,0.215
847,0.18,0.183,0.21
848,0.181,0.183,0.211
849,0.177,0.183,0.21
850,0.18,0.189,0.217
851,0.186,0.188,0.217
852,0.186,0.185,0.213
853,0.191,0.188,0.22
854,0.187,0.186,0.216
855,0.181,0.182,0.211
856,0.19,0.186,0.219
857,0.18,0.185,0.213
858,0.182,0.184,0.212
859,0.182,0.185,0.215
860,0.185,0.184,0.215
861,0.184,0.185,0.214
862,0.194,0.196,0.228
863,0.188,0.188,0.217
864,0.187,0.191,0.219
865,0.187,0.191,0.224
866,0.183,0.187,0.213
867,0.19,0.187,0.219
868,0.185,0.182,0.212
869,0.186,0.181,0.212
870,0.181,0.184,0.212
871,0.184,0.185,0.216
872,0.178,0.179,0.209
873,0.178,0.176,0.205
874,0.185,0.188,0.216
875,0.185,0.189,0.218
876,0.18,0.184,0.21
877,0.184,0.182,0.212
878,0.18,0.182,0.21
879,0.181,0.183,0.212
880,0.177,0.182,0.211
881,0.184,0.183,0.214
882,0.179,0.183,0.214
883,0.184,0.187,0.217
884,0.184,0.186,0.218
885,0.179,0.179,0.213
886,0.181,0.181,0.209
887,0.185,0.188,0.216
888,0.182,0.185,0.214
889,0.181,0.188,0.217
890,0.183,0.185,0.213
891,0.184,0.19,0.216
892,0.189,0.186,0.217
893,0.183,0.181,0.212
894,0.184,0.189,0.219
895,0.176,0.182,0.208
896,0.183,0.188,0.217
897,0.186,0.187,0.217
898,0.179,0.178,0.21
899,0.188,0.186,0.216
900,0.178,0.186,0.213
901,0.189,0.188,0.22
902,0.19,0.192,0.224
903,0.183,0.187,0.216
904,0.186,0.188,0.22
905,0.181,0.183,0.211
906,0.187,0.186,0.217
907,0.18,0.182,0.211
908,0.18,0.183,0.213
909,0.183,0.184,0.211
910,0.181,0.183,0.211
911,0.182,0.18,0.209
912,0.184,0.186,0.216
913,0.181,0.186,0.212
914,0.183,0.183,0.214
915,0.178,0.181,0.209
916,0.18,0.182,0.213
917,0.18,0.185,0.212
918,0.176,0.181,0.209
919,0.177,0.179,0.208
920,0.187,0.188,0.218
921,0.182,0.181,0.211
922,0.178,0.181,0.21
923,0.175,0.175,0.202
924,0.182,0.183,0.213
925,0.18,0.178,0.209
926,0.187,0.185,0.218
927,0.188,0.191,0.22
928,0.185,0.181,0.213
929,0.189,0.185,0.215
930,0.186,0.185,0.214
931,0.187,0.19,0.218
932,0.181,0.184,0.215
933,0.188,0.193,0.224
934,0.182,0.181,0.214
935,0.183,0.187,0.216
936,0.186,0.19,0.217
937,0.186,0.187,0.216
938,0.187,0.186,0.217
939,0.175,0.181,0.205
940,0.19,0.19,0.221
941,0.182,0.184,0.211
942,0.183,0.18,0.211
943,0.182,0.183,0.215
944,0.189,0.186,0.216
945,0.189,0.186,0.217
946,0.179,0.182,0.209
947,0.19,0.192,0.221
948,0.182,0.186,0.214
949,0.184,0.186,0.214
950,0.18,0.178,0.207
951,0.179,0.18,0.206
952,0.179,0.18,0.206
953,0.185,0.189,0.218
954,0.184,0.181,0.211
955,0.18,0.185,0.216
956,0.183,0.183,0.212
957,0.185,0.189,0.217
958,0.183,0.183,0.212
959,0.183,0.183,0.21
960,0.182,0.179,0.211
961,0.184,0.183,0.214
962,0.189,0.184,0.215
963,0.185,0.182,0.211
964,0.195,0.193,0.223
965,0.175,0.175,0.206
966,0.175,0.18,0.205
967,0.181,0.186,0.214
968,0.18,0.182,0.211
969,0.186,0.187,0.218
970,0.187,0.18,0.213
971,0.185,0.181,0.215
972,0.179,0.183,0.209
973,0.187,0.185,0.216
974,0.185,0.184,0.218
975,0.183,0.185,0.215
976,0.189,0.193,0.221
977,0.187,0.185,0.22
978,0.179,0.178,0.207
979,0.183,0.183,0.214
980,0.184,0.184,0.217
981,0.181,0.183,0.212
982,0.189,0.186,0.216
983,0.186,0.185,0.213
984,0.179,0.181,0.21
985,0.177,0.181,0.21
986,0.187,0.191,0.22
987,0.181,0.183,0.211
988,0.188,0.185,0.217
989,0.179,0.182,0.211
990,0.18,0.179,0.21
991,0.185,0.186,0.215
992,0.182,0.181,0.213
993,0.176,0.179,0.205
994,0.185,0.183,0.216
995,0.188,0.189,0.22
996,0.185,0.186,0.216
997,0.182,0.186,0.215
998,0.185,0.189,0.217
999,0.179,0.18,0.209
