,SAT,base,base2
317,0.343,0.437,0.508
318,0.348,0.448,0.514
319,0.354,0.439,0.509
320,0.34,0.439,0.509
321,0.341,0.427,0.494
322,0.349,0.438,0.507
323,0.353,0.45,0.509
324,0.351,0.44,0.512
325,0.337,0.431,0.502
326,0.358,0.453,0.519
327,0.351,0.445,0.516
328,0.339,0.422,0.491
329,0.352,0.435,0.508
330,0.348,0.429,0.497
331,0.369,0.447,0.496
332,0.342,0.431,0.505
333,0.343,0.431,0.502
334,0.343,0.43,0.501
335,0.352,0.438,0.508
336,0.334,0.432,0.5
337,0.346,0.439,0.51
338,0.344,0.444,0.515
339,0.369,0.452,0.51
340,0.336,0.435,0.506
341,0.357,0.449,0.516
342,0.344,0.424,0.494
343,0.344,0.433,0.503
344,0.35,0.431,0.503
345,0.354,0.439,0.512
346,0.337,0.436,0.504
347,0.351,0.439,0.51
348,0.344,0.437,0.51
349,0.353,0.441,0.512
350,0.355,0.436,0.508
351,0.354,0.436,0.505
352,0.354,0.446,0.513
353,0.364,0.451,0.51
354,0.34,0.441,0.513
355,0.354,0.437,0.503
356,0.349,0.44,0.511
357,0.347,0.436,0.507
358,0.362,0.44,0.512
359,0.339,0.434,0.496
360,0.352,0.441,0.506
361,0.354,0.446,0.511
362,0.362,0.446,0.507
363,0.354,0.431,0.506
364,0.352,0.427,0.497
365,0.341,0.427,0.5
366,0.339,0.432,0.501
367,0.364,0.445,0.507
368,0.363,0.454,0.513
369,0.352,0.45,0.516
370,0.345,0.442,0.513
371,0.337,0.427,0.501
372,0.355,0.439,0.498
373,0.342,0.434,0.506
374,0.348,0.444,0.514
375,0.346,0.439,0.512
376,0.36,0.452,0.515
377,0.331,0.419,0.488
378,0.344,0.447,0.516
379,0.343,0.437,0.507
380,0.35,0.441,0.513
381,0.353,0.443,0.516
382,0.351,0.432,0.505
383,0.364,0.447,0.507
384,0.351,0.437,0.502
385,0.359,0.448,0.507
386,0.36,0.457,0.507
387,0.352,0.439,0.505
388,0.346,0.42,0.492
389,0.338,0.42,0.492
390,0.345,0.441,0.508
391,0.37,0.456,0.508
392,0.36,0.445,0.504
393,0.356,0.438,0.505
394,0.354,0.434,0.507
395,0.333,0.437,0.504
396,0.341,0.431,0.5
397,0.341,0.422,0.498
398,0.343,0.441,0.514
399,0.351,0.445,0.503
400,0.343,0.432,0.503
401,0.343,0.432,0.501
402,0.34,0.434,0.505
403,0.351,0.437,0.507
404,0.359,0.426,0.499
405,0.356,0.449,0.512
406,0.348,0.436,0.508
407,0.361,0.449,0.505
408,0.351,0.438,0.51
409,0.356,0.438,0.508
410,0.345,0.442,0.509
411,0.33,0.432,0.503
412,0.351,0.439,0.511
413,0.349,0.442,0.506
414,0.369,0.457,0.515
415,0.341,0.431,0.5
416,0.349,0.441,0.517
417,0.349,0.437,0.503
418,0.344,0.445,0.518
419,0.345,0.439,0.508
420,0.332,0.422,0.495
421,0.359,0.448,0.511
422,0.348,0.432,0.503
423,0.345,0.432,0.503
424,0.344,0.428,0.499
425,0.369,0.443,0.495
426,0.351,0.429,0.499
427,0.343,0.435,0.505
428,0.355,0.447,0.511
429,0.345,0.431,0.501
430,0.351,0.437,0.505
431,0.354,0.444,0.511
432,0.357,0.441,0.506
433,0.357,0.45,0.507
434,0.328,0.418,0.486
435,0.363,0.451,0.504
436,0.362,0.447,0.511
437,0.352,0.441,0.512
438,0.343,0.431,0.503
439,0.345,0.446,0.513
440,0.361,0.456,0.515
441,0.326,0.435,0.506
442,0.347,0.436,0.508
443,0.349,0.443,0.51
444,0.352,0.455,0.508
445,0.35,0.437,0.508
446,0.348,0.427,0.498
447,0.358,0.44,0.502
448,0.356,0.422,0.497
449,0.327,0.427,0.494
450,0.361,0.441,0.51
451,0.355,0.439,0.509
452,0.351,0.441,0.514
453,0.336,0.428,0.506
454,0.363,0.461,0.517
455,0.356,0.442,0.513
456,0.349,0.439,0.513
457,0.344,0.438,0.508
458,0.338,0.431,0.501
459,0.342,0.433,0.503
460,0.35,0.439,0.512
461,0.343,0.436,0.508
462,0.356,0.44,0.511
463,0.344,0.442,0.501
464,0.334,0.431,0.5
465,0.355,0.44,0.503
466,0.348,0.434,0.505
467,0.34,0.44,0.508
468,0.339,0.42,0.491
469,0.355,0.441,0.51
470,0.335,0.432,0.503
471,0.343,0.429,0.499
472,0.352,0.445,0.511
473,0.352,0.447,0.51
474,0.345,0.439,0.512
475,0.342,0.434,0.505
476,0.355,0.439,0.509
477,0.364,0.454,0.515
478,0.364,0.441,0.511
479,0.347,0.443,0.516
480,0.341,0.42,0.494
481,0.357,0.439,0.507
482,0.353,0.435,0.51
483,0.348,0.437,0.51
484,0.355,0.435,0.504
485,0.347,0.432,0.503
486,0.363,0.446,0.51
487,0.353,0.431,0.502
488,0.332,0.425,0.494
489,0.342,0.43,0.501
490,0.349,0.429,0.506
491,0.355,0.439,0.507
492,0.341,0.43,0.501
493,0.347,0.432,0.505
494,0.351,0.443,0.512
495,0.341,0.433,0.505
496,0.352,0.433,0.504
497,0.344,0.428,0.499
498,0.373,0.456,0.508
499,0.35,0.445,0.504
500,0.343,0.438,0.506
501,0.339,0.413,0.486
502,0.344,0.437,0.509
503,0.352,0.437,0.511
504,0.344,0.434,0.497
505,0.334,0.427,0.502
506,0.347,0.442,0.513
