,MRA,base,base2
353,0.344,0.441,0.503
354,0.346,0.43,0.498
355,0.334,0.452,0.511
356,0.331,0.441,0.506
357,0.337,0.432,0.501
358,0.332,0.436,0.505
359,0.334,0.437,0.507
360,0.344,0.453,0.507
361,0.336,0.449,0.51
362,0.339,0.44,0.512
363,0.34,0.453,0.505
364,0.342,0.45,0.51
365,0.337,0.432,0.506
366,0.35,0.459,0.514
367,0.343,0.446,0.516
368,0.333,0.419,0.487
369,0.334,0.431,0.501
370,0.335,0.446,0.508
371,0.333,0.421,0.487
372,0.337,0.427,0.497
373,0.341,0.432,0.502
374,0.346,0.427,0.493
375,0.346,0.43,0.502
376,0.329,0.423,0.496
377,0.335,0.434,0.503
378,0.332,0.426,0.497
379,0.337,0.431,0.502
380,0.341,0.446,0.513
381,0.35,0.43,0.503
382,0.344,0.424,0.495
383,0.334,0.442,0.508
384,0.331,0.436,0.503
385,0.336,0.437,0.507
386,0.338,0.425,0.497
387,0.336,0.428,0.496
388,0.356,0.447,0.517
389,0.336,0.438,0.508
390,0.34,0.434,0.501
391,0.332,0.446,0.505
392,0.332,0.437,0.503
393,0.344,0.438,0.507
394,0.332,0.44,0.498
395,0.338,0.442,0.506
396,0.341,0.434,0.508
397,0.345,0.433,0.504
398,0.338,0.448,0.509
399,0.335,0.446,0.509
400,0.347,0.439,0.508
401,0.334,0.44,0.511
402,0.333,0.438,0.504
403,0.33,0.424,0.498
404,0.34,0.449,0.509
405,0.342,0.428,0.501
406,0.336,0.443,0.508
407,0.332,0.44,0.504
408,0.34,0.452,0.519
409,0.344,0.436,0.506
410,0.335,0.431,0.503
411,0.34,0.435,0.503
412,0.338,0.445,0.509
413,0.336,0.428,0.497
414,0.341,0.435,0.503
415,0.338,0.444,0.509
416,0.349,0.435,0.508
417,0.337,0.431,0.499
418,0.349,0.423,0.493
419,0.347,0.448,0.519
420,0.345,0.438,0.508
421,0.341,0.448,0.51
422,0.353,0.437,0.511
423,0.342,0.433,0.504
424,0.331,0.435,0.498
425,0.351,0.426,0.5
426,0.35,0.437,0.508
427,0.332,0.433,0.505
428,0.339,0.45,0.499
429,0.34,0.447,0.503
430,0.333,0.439,0.506
431,0.341,0.447,0.513
432,0.351,0.452,0.523
433,0.342,0.445,0.511
434,0.356,0.448,0.517
435,0.347,0.44,0.517
436,0.336,0.431,0.5
437,0.346,0.438,0.507
438,0.353,0.435,0.51
439,0.344,0.437,0.508
440,0.338,0.428,0.493
441,0.331,0.428,0.5
442,0.341,0.435,0.505
443,0.327,0.433,0.496
444,0.341,0.428,0.5
445,0.333,0.434,0.507
446,0.335,0.436,0.505
447,0.336,0.429,0.5
448,0.344,0.429,0.503
449,0.338,0.44,0.51
450,0.339,0.448,0.502
451,0.339,0.452,0.512
452,0.34,0.433,0.504
453,0.33,0.429,0.501
454,0.344,0.438,0.506
455,0.341,0.425,0.498
456,0.341,0.441,0.515
457,0.344,0.431,0.5
458,0.335,0.428,0.498
459,0.341,0.437,0.512
460,0.334,0.44,0.507
461,0.337,0.434,0.504
462,0.335,0.434,0.504
463,0.334,0.429,0.497
464,0.336,0.441,0.508
465,0.334,0.433,0.504
466,0.34,0.441,0.507
467,0.353,0.441,0.509
468,0.348,0.423,0.493
469,0.333,0.439,0.504
470,0.327,0.444,0.5
471,0.337,0.458,0.506
472,0.335,0.44,0.507
473,0.35,0.444,0.514
474,0.347,0.43,0.497
475,0.337,0.448,0.508
476,0.336,0.424,0.499
477,0.346,0.424,0.495
478,0.335,0.427,0.494
479,0.336,0.459,0.508
480,0.347,0.431,0.502
481,0.336,0.443,0.502
482,0.336,0.444,0.505
483,0.334,0.447,0.502
484,0.337,0.431,0.503
485,0.334,0.424,0.498
486,0.341,0.445,0.514
487,0.342,0.445,0.517
488,0.337,0.434,0.506
489,0.335,0.441,0.505
490,0.333,0.452,0.507
491,0.344,0.433,0.501
492,0.333,0.42,0.487
493,0.345,0.447,0.516
494,0.335,0.436,0.508
495,0.342,0.451,0.514
496,0.342,0.437,0.509
497,0.336,0.438,0.504
498,0.344,0.427,0.495
499,0.341,0.439,0.511
500,0.345,0.438,0.514
501,0.34,0.423,0.497
502,0.326,0.438,0.499
503,0.334,0.438,0.507
504,0.34,0.438,0.506
505,0.339,0.432,0.502
506,0.336,0.444,0.507
507,0.348,0.425,0.497
508,0.335,0.446,0.511
509,0.341,0.433,0.506
510,0.349,0.43,0.502
511,0.332,0.443,0.505
512,0.347,0.449,0.517
513,0.354,0.453,0.519
514,0.353,0.443,0.511
515,0.341,0.45,0.511
