,SAT,base,base2
81,0.155,0.181,0.209
82,0.159,0.178,0.207
83,0.161,0.183,0.211
84,0.155,0.181,0.209
85,0.165,0.187,0.216
86,0.161,0.184,0.214
87,0.166,0.184,0.212
88,0.158,0.182,0.213
89,0.162,0.183,0.212
90,0.154,0.18,0.204
91,0.16,0.182,0.208
92,0.161,0.185,0.213
93,0.154,0.181,0.209
94,0.168,0.186,0.217
95,0.157,0.178,0.208
96,0.157,0.177,0.208
97,0.157,0.184,0.212
98,0.164,0.188,0.218
99,0.161,0.189,0.22
100,0.168,0.185,0.215
101,0.165,0.189,0.221
102,0.16,0.181,0.211
103,0.159,0.183,0.214
104,0.162,0.184,0.213
105,0.164,0.187,0.215
106,0.164,0.191,0.22
107,0.16,0.184,0.213
108,0.159,0.182,0.21
109,0.158,0.178,0.206
110,0.162,0.186,0.213
111,0.166,0.184,0.216
112,0.159,0.184,0.211
113,0.154,0.181,0.209
114,0.164,0.185,0.214
115,0.164,0.185,0.216
116,0.166,0.191,0.223
117,0.16,0.184,0.214
118,0.163,0.186,0.216
119,0.157,0.175,0.205
120,0.16,0.186,0.217
121,0.16,0.185,0.212
122,0.157,0.181,0.212
123,0.158,0.184,0.214
124,0.158,0.18,0.207
125,0.159,0.179,0.208
126,0.152,0.174,0.205
127,0.158,0.181,0.211
128,0.163,0.184,0.211
129,0.158,0.183,0.213
130,0.161,0.183,0.214
131,0.168,0.189,0.217
132,0.164,0.188,0.216
133,0.163,0.188,0.216
134,0.161,0.183,0.212
135,0.166,0.186,0.215
136,0.16,0.182,0.21
137,0.167,0.19,0.222
138,0.158,0.184,0.212
139,0.153,0.177,0.205
140,0.155,0.175,0.202
141,0.155,0.181,0.211
142,0.162,0.185,0.214
143,0.165,0.188,0.219
144,0.164,0.196,0.228
145,0.161,0.182,0.209
146,0.159,0.185,0.213
147,0.164,0.186,0.216
148,0.162,0.188,0.216
149,0.161,0.19,0.218
150,0.159,0.179,0.207
151,0.151,0.178,0.209
152,0.164,0.186,0.215
153,0.156,0.178,0.206
154,0.155,0.182,0.21
155,0.165,0.191,0.221
156,0.154,0.18,0.207
157,0.165,0.181,0.21
158,0.163,0.184,0.211
159,0.16,0.176,0.203
160,0.164,0.191,0.222
161,0.165,0.191,0.221
162,0.157,0.18,0.212
163,0.165,0.186,0.217
164,0.165,0.188,0.217
165,0.164,0.185,0.216
166,0.164,0.184,0.214
167,0.164,0.19,0.219
168,0.157,0.178,0.208
169,0.162,0.186,0.215
170,0.16,0.182,0.212
171,0.164,0.192,0.223
172,0.166,0.191,0.223
173,0.159,0.18,0.211
174,0.16,0.185,0.215
175,0.158,0.187,0.215
176,0.161,0.185,0.215
177,0.16,0.183,0.211
178,0.161,0.182,0.212
179,0.15,0.178,0.206
180,0.156,0.182,0.213
181,0.157,0.184,0.212
182,0.157,0.181,0.211
183,0.164,0.189,0.218
184,0.166,0.189,0.22
185,0.158,0.182,0.213
186,0.166,0.188,0.215
187,0.157,0.188,0.215
188,0.161,0.186,0.213
189,0.156,0.178,0.207
190,0.162,0.185,0.211
191,0.163,0.186,0.217
192,0.153,0.177,0.209
193,0.159,0.183,0.213
194,0.161,0.183,0.211
195,0.16,0.185,0.214
196,0.161,0.186,0.214
197,0.163,0.191,0.219
198,0.159,0.184,0.213
199,0.161,0.185,0.214
200,0.165,0.188,0.221
201,0.159,0.182,0.21
202,0.158,0.181,0.212
203,0.16,0.177,0.204
204,0.161,0.187,0.214
205,0.156,0.183,0.212
206,0.163,0.189,0.218
207,0.161,0.181,0.211
208,0.162,0.188,0.215
209,0.158,0.177,0.205
210,0.16,0.181,0.212
211,0.16,0.181,0.21
212,0.156,0.18,0.208
213,0.16,0.185,0.213
214,0.154,0.18,0.207
215,0.164,0.181,0.212
216,0.155,0.174,0.203
217,0.167,0.189,0.219
218,0.153,0.184,0.214
219,0.164,0.187,0.215
220,0.157,0.18,0.208
221,0.166,0.191,0.223
222,0.158,0.182,0.211
223,0.164,0.189,0.218
224,0.168,0.184,0.214
225,0.153,0.182,0.213
226,0.158,0.185,0.218
227,0.155,0.185,0.211
228,0.168,0.188,0.218
229,0.161,0.182,0.209
230,0.162,0.188,0.218
231,0.163,0.185,0.215
232,0.156,0.179,0.209
233,0.163,0.186,0.215
234,0.156,0.178,0.206
235,0.161,0.189,0.218
236,0.164,0.186,0.216
237,0.157,0.184,0.21
238,0.158,0.177,0.206
239,0.158,0.176,0.206
240,0.16,0.179,0.21
241,0.163,0.183,0.215
242,0.162,0.189,0.216
243,0.162,0.185,0.216
244,0.163,0.188,0.218
245,0.156,0.184,0.212
246,0.17,0.188,0.22
247,0.158,0.182,0.213
248,0.163,0.192,0.217
249,0.155,0.182,0.211
250,0.158,0.178,0.208
251,0.159,0.18,0.204
252,0.164,0.181,0.214
253,0.16,0.183,0.213
254,0.157,0.179,0.208
255,0.163,0.187,0.217
256,0.16,0.188,0.216
257,0.163,0.187,0.216
258,0.169,0.193,0.224
259,0.158,0.182,0.212
260,0.156,0.179,0.209
261,0.165,0.188,0.216
262,0.153,0.178,0.206
263,0.161,0.186,0.217
264,0.159,0.18,0.21
265,0.157,0.183,0.21
266,0.155,0.179,0.208
267,0.149,0.177,0.206
268,0.162,0.182,0.208
269,0.153,0.177,0.206
270,0.157,0.178,0.207
271,0.162,0.18,0.209
272,0.153,0.177,0.205
273,0.163,0.188,0.217
274,0.161,0.187,0.213
275,0.161,0.186,0.215
276,0.16,0.183,0.217
277,0.159,0.181,0.213
278,0.165,0.188,0.217
279,0.164,0.189,0.217
280,0.165,0.191,0.219
281,0.156,0.185,0.214
282,0.156,0.184,0.214
283,0.158,0.176,0.205
284,0.159,0.187,0.215
285,0.163,0.184,0.217
286,0.162,0.19,0.219
287,0.155,0.18,0.208
288,0.156,0.18,0.21
289,0.156,0.182,0.213
290,0.158,0.181,0.212
291,0.16,0.183,0.214
292,0.16,0.19,0.219
293,0.159,0.183,0.213
294,0.154,0.185,0.212
295,0.16,0.185,0.215
296,0.162,0.189,0.219
297,0.156,0.187,0.217
298,0.165,0.185,0.214
299,0.165,0.181,0.211
300,0.164,0.181,0.212
301,0.157,0.182,0.213
302,0.161,0.184,0.217
303,0.162,0.181,0.211
304,0.158,0.179,0.208
305,0.162,0.185,0.213
306,0.163,0.183,0.214
307,0.16,0.181,0.209
308,0.165,0.189,0.219
309,0.164,0.189,0.215
