,MRA,base3
643,0.181,0.17
644,0.182,0.166
645,0.184,0.166
646,0.183,0.163
647,0.179,0.163
648,0.18,0.168
649,0.185,0.168
650,0.188,0.173
651,0.185,0.171
652,0.186,0.169
653,0.182,0.161
654,0.183,0.166
655,0.177,0.159
656,0.186,0.171
657,0.179,0.163
658,0.18,0.165
659,0.184,0.167
660,0.182,0.167
661,0.183,0.165
662,0.186,0.169
663,0.178,0.163
664,0.182,0.164
665,0.182,0.168
666,0.185,0.169
667,0.185,0.165
668,0.189,0.172
669,0.184,0.165
670,0.188,0.169
671,0.182,0.169
672,0.189,0.168
673,0.183,0.167
674,0.185,0.165
675,0.184,0.169
676,0.177,0.163
677,0.182,0.165
678,0.188,0.166
679,0.184,0.167
680,0.179,0.165
681,0.186,0.167
682,0.183,0.169
683,0.181,0.162
684,0.178,0.162
685,0.176,0.165
686,0.187,0.167
687,0.184,0.166
688,0.18,0.165
689,0.176,0.164
690,0.178,0.162
691,0.177,0.162
692,0.187,0.17
693,0.185,0.167
694,0.182,0.165
695,0.18,0.159
696,0.184,0.171
697,0.18,0.164
698,0.184,0.168
699,0.184,0.166
700,0.18,0.164
701,0.185,0.17
702,0.186,0.167
703,0.18,0.163
704,0.18,0.163
705,0.191,0.171
706,0.176,0.164
707,0.184,0.168
708,0.183,0.166
709,0.187,0.169
710,0.187,0.173
711,0.19,0.171
712,0.18,0.167
713,0.18,0.164
714,0.182,0.165
715,0.178,0.167
716,0.186,0.167
717,0.179,0.164
718,0.184,0.162
719,0.184,0.164
720,0.188,0.172
721,0.18,0.161
722,0.185,0.163
723,0.181,0.165
724,0.183,0.166
725,0.188,0.167
726,0.18,0.163
727,0.188,0.172
728,0.178,0.164
729,0.175,0.157
730,0.186,0.172
731,0.183,0.166
732,0.186,0.171
733,0.178,0.163
734,0.182,0.166
735,0.183,0.167
736,0.189,0.169
737,0.182,0.168
738,0.183,0.167
739,0.181,0.168
740,0.186,0.168
741,0.181,0.162
742,0.178,0.164
743,0.187,0.167
744,0.185,0.168
745,0.188,0.171
746,0.183,0.164
747,0.188,0.173
748,0.182,0.169
749,0.184,0.169
750,0.187,0.171
751,0.187,0.172
752,0.186,0.172
753,0.181,0.165
754,0.191,0.171
755,0.191,0.173
756,0.182,0.166
757,0.183,0.169
758,0.179,0.162
759,0.174,0.163
760,0.178,0.167
761,0.186,0.165
762,0.177,0.165
763,0.182,0.166
764,0.182,0.166
765,0.182,0.169
766,0.182,0.168
767,0.183,0.166
768,0.184,0.169
769,0.182,0.166
770,0.179,0.164
771,0.184,0.167
772,0.189,0.172
773,0.176,0.161
774,0.182,0.164
775,0.186,0.168
776,0.179,0.166
777,0.191,0.176
778,0.181,0.166
779,0.18,0.17
780,0.187,0.169
781,0.183,0.164
782,0.183,0.169
783,0.188,0.172
784,0.179,0.164
785,0.185,0.167
786,0.176,0.162
787,0.176,0.163
788,0.185,0.171
789,0.184,0.164
790,0.181,0.165
791,0.184,0.17
792,0.187,0.168
793,0.181,0.16
794,0.182,0.166
795,0.186,0.171
796,0.187,0.17
797,0.18,0.167
798,0.178,0.165
799,0.184,0.166
800,0.186,0.168
801,0.18,0.163
802,0.184,0.165
803,0.18,0.166
804,0.179,0.163
805,0.184,0.169
806,0.184,0.17
807,0.183,0.167
808,0.182,0.168
809,0.184,0.165
810,0.18,0.168
811,0.186,0.164
812,0.182,0.167
813,0.182,0.166
814,0.177,0.166
815,0.178,0.163
816,0.187,0.17
817,0.186,0.167
818,0.181,0.163
819,0.183,0.171
820,0.183,0.165
821,0.18,0.166
822,0.182,0.166
823,0.188,0.17
824,0.187,0.17
825,0.185,0.172
826,0.183,0.167
827,0.181,0.168
828,0.177,0.163
829,0.183,0.167
830,0.18,0.163
831,0.195,0.171
832,0.186,0.162
833,0.189,0.172
834,0.187,0.169
835,0.181,0.168
836,0.185,0.17
837,0.182,0.168
838,0.191,0.17
839,0.178,0.165
840,0.185,0.168
841,0.181,0.167
842,0.182,0.165
843,0.182,0.164
844,0.186,0.167
845,0.178,0.165
846,0.186,0.168
847,0.177,0.165
848,0.183,0.164
849,0.182,0.162
850,0.186,0.169
851,0.185,0.169
852,0.184,0.172
853,0.178,0.16
854,0.186,0.171
855,0.183,0.166
856,0.185,0.171
857,0.178,0.162
858,0.188,0.171
859,0.179,0.164
860,0.186,0.17
861,0.179,0.165
862,0.188,0.169
863,0.183,0.166
864,0.188,0.169
865,0.177,0.167
866,0.185,0.171
867,0.183,0.167
868,0.179,0.165
869,0.186,0.168
870,0.183,0.166
871,0.176,0.163
872,0.177,0.161
873,0.184,0.167
874,0.179,0.164
875,0.176,0.166
876,0.183,0.166
877,0.185,0.169
878,0.177,0.167
879,0.186,0.165
880,0.183,0.168
881,0.182,0.169
882,0.177,0.164
883,0.178,0.162
